Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,-,-,-,-,-,-,0,1956,9,1995,0,1956,43,2007
2,-,-,-,-,-,-,-,-,0,1959,8,2007,0,1959,41,1995
3,-,-,-,-,-,-,-,-,0,1962,6,1966,0,1962,28,2005
4,-,-,-,-,-,-,-,-,0,1968,6,2015,0,1968,27,1966
5,-,-,-,-,-,-,-,-,0,1971,5,1955,0,1971,26,1955
6,-,-,-,-,-,-,-,-,0,1972,5,1964,0,1972,25,2001
7,-,-,-,-,-,-,-,-,0,1974,5,2005,0,1974,22,1975
8,-,-,-,-,-,-,-,-,0,1978,5,2010,0,1978,21,2011
9,-,-,-,-,-,-,-,-,0,1979,5,2012,0,1979,20,2002
10,-,-,-,-,-,-,-,-,0,1980,4,1983,0,1980,19,2022
11,-,-,-,-,-,-,-,-,0,1982,4,1989,0,1982,19,1989
12,-,-,-,-,-,-,-,-,0,1985,4,2003,0,1985,17,1983
13,-,-,-,-,-,-,-,-,0,1990,3,1969,0,1990,16,2012
14,-,-,-,-,-,-,-,-,0,1992,3,1975,0,1992,15,1996
15,-,-,-,-,-,-,-,-,0,1993,3,1988,0,1993,14,2018
16,-,-,-,-,-,-,-,-,0,1994,3,2001,0,1994,14,2010
17,-,-,-,-,-,-,-,-,0,2004,3,2002,0,2004,13,1998
18,-,-,-,-,-,-,-,-,0,2008,3,2011,0,2008,13,2015
19,-,-,-,-,-,-,-,-,0,2009,2,1957,0,2009,12,1969
20,-,-,-,-,-,-,-,-,0,2017,2,1960,0,2017,11,1981
21,-,-,-,-,-,-,-,-,0,2019,2,1963,0,2019,-,-
22,-,-,-,-,-,-,-,-,0,2025,2,1981,0,2025,-,-
23,-,-,-,-,-,-,-,-,-,-,2,1987,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,2,1991,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,2,1996,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,2,1998,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,2,2006,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,2,2018,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,2,2020,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,2,2021,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,2,2022,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,2,2023,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,2,2024,-,-,-,-
